Country,Latitude,Longitude,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Lesotho,-29.609988,28.233608,68.07696244,69.0943663,71.66615105,72.31284233,71.87716926,71.56736852,72.14590873,72.18909714,71.72552946,73.67531567,75.53452382
Liberia,6.428055,-9.429499,62.1827804,63.30762778,64.2878887,65.16375749,66.12208265,67.42929415,68.0403597,69.21996719,70.68432537,72.46387458,74.66909061
Libya,26.3351,17.228331,9.883113117,10.22510136,10.59664511,10.97836146,11.40790134,11.84847859,12.36799904,12.91767223,13.86355236,14.24022588,15.07163969
Lithuania,55.169438,23.881275,2.98901931,3.283309356,3.590446343,3.86297659,4.020144783,4.040858959,4.058950868,4.202707258,4.496856406,4.901671664,5.392373241
Luxembourg,49.815273,6.129583,2.247764044,2.291535609,2.327571078,2.354208442,2.367945864,2.371089951,2.380261407,2.398131061,2.425460068,2.470266823,2.532758571
Madagascar,-18.766947,46.869107,36.47211925,37.45838044,38.50603365,39.5703934,40.65820108,41.73641686,42.837447,44.00190466,45.2693982,46.62409702,48.13621996
Malawi,-13.254308,34.301525,30.91180976,32.07175445,33.50921055,35.27887258,37.30821884,39.66971296,42.69331637,45.9406928,49.53102207,53.16322027,55.25466595
Malaysia,4.210484,101.975766,7.320757787,7.216126246,7.086070621,6.974209701,6.89042306,6.835944591,6.807916599,6.812291267,6.847569014,6.895457404,6.92715596
Maldives,3.202778,73.22068,6.515647385,7.018584599,7.556657882,8.119789871,8.70268072,9.297610166,9.900820941,10.52717492,11.19137478,11.9360128,12.78838042
Mali,17.570692,-3.996166,60.20954388,61.79182102,63.49045398,65.2000458,66.95051407,68.74721993,70.63867446,72.59572997,74.59634009,76.70062893,78.85177149
Malta,35.937496,14.375416,6.078252618,6.145847724,6.169870895,6.145228277,6.106491557,6.063260446,6.024386802,5.990240422,5.965123967,5.947480445,5.929470759
Marshall Islands,7.131474,171.184478,26.38970946,27.15930694,27.88258766,28.60380091,29.29297906,29.95743536,30.49121845,30.96859624,31.29681534,31.5250243,31.69378826
Mauritania,21.00789,-10.940835,50.13964669,51.37933015,52.60034909,53.84199487,55.02600646,56.40243513,57.62875812,58.96000341,60.30155063,61.67107845,62.85911547
Mauritius,-20.348404,57.552152,14.2699591,13.68012415,13.15800092,12.81029644,12.74578409,12.93046195,13.08861535,12.95167027,12.65492983,12.45498341,12.51783345
Mexico,23.634501,-102.552784,12.19627163,12.61694325,13.04974204,13.47997703,13.9313859,14.3892762,14.86301112,15.34323771,15.85247999,16.37531843,16.91872886
Monaco,43.750298,7.412841,2.527675411,2.613578373,2.696661167,2.781116849,2.866684481,2.951012482,3.026906699,3.105834006,3.180749058,3.252672849,3.326313846
Mongolia,46.862496,103.846656,13.4465395,14.19164532,15.06628692,16.09093832,17.28478062,18.64021767,20.12015622,21.71759411,23.39086979,25.1487622,26.94707328
Montenegro,42.708678,19.37439,2.03975161,2.217671078,2.450508289,2.756479026,3.126790858,3.5586729,4.039867517,4.57066946,5.152435658,5.786327706,6.468117585
Morocco,31.791702,-7.09262,18.34228313,19.08066274,19.86283671,20.72977821,21.68869156,22.71922012,23.7905735,24.93179521,26.10142727,27.2832336,28.51058366
Mozambique,-18.665695,35.529562,54.77353916,56.37158704,57.93608221,59.83718727,61.54555415,63.17670869,64.71254494,66.41617273,68.84208809,72.43327686,72.97808656
Nauru,-0.522778,166.931503,25.70468123,26.42573317,27.230499,27.95702895,28.69865919,29.39474247,30.09095944,30.73607641,31.29764729,31.66528789,31.94499641
Nepal,28.394857,84.124008,25.61869656,26.49262397,27.44986708,28.51443382,29.68294435,30.92614678,32.32872002,33.84939395,35.45920958,37.14989245,38.91794694
Netherlands,52.132633,5.291266,3.454584908,3.441174128,3.429526901,3.42863529,3.438960533,3.46479318,3.505770287,3.562399049,3.635731064,3.726929623,3.839009273
New Zealand,-40.900557,174.885971,3.942549622,4.083724144,4.224896717,4.374964739,4.526262096,4.66914659,4.795863266,4.906177796,5.005296516,5.08795711,5.161219003
Nicaragua,12.865416,-85.207229,14.31413945,14.85214263,15.40651068,15.99125384,16.62403235,17.30228841,17.98910435,18.71554833,19.46038809,20.24249863,21.07764581
Niger,17.607789,8.081666,46.72142921,47.88772726,49.11822933,50.45939047,51.87402317,53.50848699,55.16093158,57.12207956,59.36217618,61.99812951,64.89602495
Nigeria,9.081999,8.675277,74.16031659,75.74067416,77.27902103,78.52203498,79.51666483,80.41502588,81.23519079,82.19876801,83.25568956,84.57111591,86.11200448
Niue,-19.054445,-169.867233,19.68973421,20.32376557,21.01183845,21.62596622,22.22468788,22.81002289,23.38651263,23.93608193,24.47975677,24.90623627,25.33465021
Norway,60.472024,8.468946,1.984170623,2.0347814,2.088793522,2.145259169,2.206921247,2.274843573,2.349849649,2.437436643,2.535685857,2.645976815,2.768353863
Oman,21.512583,55.923255,9.812342984,9.79754797,9.738802957,9.67531359,9.635792123,9.648323459,9.719531172,9.824846701,9.941975829,10.062002,10.19058768
Pakistan,30.375321,69.345116,55.66382504,57.24433326,58.84952164,60.47687976,62.12172648,63.7700101,65.43112841,67.05519225,68.6245056,70.1292467,71.51487828
Palau,7.51498,134.58252,15.77970521,16.29283263,16.83679006,17.36336029,17.86409073,18.42938625,18.94692268,19.5011803,20.04209363,20.66569227,21.21489819
Panama,8.537981,-80.782127,12.78020955,13.18032671,13.67191186,14.11867187,14.55073114,15.0462397,15.5332613,15.98939587,16.4992167,17.00041588,17.47474925
Papua New Guinea,-6.314993,143.95555,35.85000427,36.90553768,37.8488087,38.82745284,39.85257972,40.77025369,41.71913549,42.65630733,43.62537756,44.54067966,45.4998925
Paraguay,-23.442503,-58.443832,16.63330209,17.20270543,17.75947109,18.31906077,18.91513402,19.50245926,20.05582151,20.66949228,21.28915277,21.92695337,22.56921289
Peru,-9.189967,-75.015152,10.25526586,10.66801466,11.13253918,11.6233272,12.16547014,12.73559079,13.33551634,13.97470937,14.67599908,15.45918573,16.3246935
Philippines,12.879721,121.774017,21.63311887,22.20616526,22.72302914,23.12999493,23.48319455,23.72143449,23.98938015,24.26052891,24.52745436,24.79559902,25.0755053
Poland,51.919438,19.145136,3.762721367,3.836595835,3.926648714,4.035412212,4.1662889,4.318681167,4.488572153,4.669048254,4.875186473,5.133831632,5.451523487
Portugal,39.399872,-8.224454,3.050173095,3.030647398,3.005727379,2.981240546,2.962277949,2.954407305,2.957728818,2.976106265,3.007236461,3.054168144,3.116340541
Qatar,25.354826,51.183884,5.5681527,5.828368577,6.110995025,6.407260619,6.695488644,6.966135527,7.207196307,7.420891164,7.614374443,7.807704074,7.996773137
Romania,45.943161,24.96676,5.694670269,6.19501118,6.663597858,7.112852093,7.635578587,8.276637867,8.953378692,9.548312694,10.05269523,10.5397261,11.10601323
Russia,61.52401,105.318756,4.930722198,5.374823861,5.885884794,6.453501195,7.045911502,7.61800632,8.105516545,8.442545736,8.666815945,8.887625922,9.195067137
Rwanda,-1.940278,29.873888,26.29013374,27.34396942,28.43856126,29.55889717,30.8817071,32.5040433,34.51716621,37.01412226,39.80562201,43.82988816,47.53060857
Saint Kitts and Nevis,17.357822,-62.782998,12.87566033,13.22883176,13.54783531,13.87111027,14.1259335,14.31639748,14.45399754,14.50580423,14.56902189,14.64785703,14.74891918
Saint Lucia,13.909444,-60.978893,20.01384667,19.69200251,19.33955469,18.97409456,18.60072276,18.24977915,17.91688656,17.59384856,17.29481148,17.02237546,16.76654381
Saint Vincent and the Grenadines,12.984305,-61.287228,13.38548735,13.82593318,14.27800991,14.74393581,15.22267551,15.72074605,16.2227026,16.74515791,17.24803161,17.70915899,18.12464563
Samoa,-13.759029,-172.104629,12.91834406,13.31839037,13.72276785,14.11770626,14.49745501,14.86658472,15.18187559,15.437088,15.63905779,15.7850613,16.89430409
San Marino,43.94236,12.457777,1.493181156,1.552569037,1.614621925,1.685924004,1.769436113,1.858634615,1.961469346,2.088432721,2.234621151,2.415347269,2.616764606
Saudi Arabia,23.885942,45.079162,5.685871822,5.970146725,6.31845442,6.725042149,7.219089066,7.763094149,8.330486707,8.928741675,9.576887482,10.25093373,10.96570906
Senegal,14.497401,-14.452362,32.69596939,33.55115697,34.44887931,35.35986487,36.40116908,37.4664568,38.57923914,39.78613859,41.12665676,42.6288189,44.28716929
Serbia,44.016521,21.005859,4.628735932,4.812831738,5.009808556,5.227273544,5.465004981,5.716960599,5.970098463,6.203048376,6.415502482,6.604399286,6.768474625
Seychelles,-4.679574,55.491977,12.26169367,12.49662492,12.6615722,12.74413485,12.7012478,12.60044032,12.4656783,12.34336492,12.23092056,12.12700259,12.04456956
Sierra Leone,8.460555,-11.779889,80.92103639,83.35191011,85.92968377,88.57460605,94.16811648,94.87326639,97.02163863,100.1761085,103.5389744,107.1526586,110.8076102
Singapore,1.352083,103.819836,2.050107878,2.11060324,2.149164595,2.168337101,2.176319491,2.182750842,2.191766634,2.20589516,2.223932007,2.23568365,2.237838921
Slovakia,48.669026,19.699024,4.683178337,4.781966095,4.880681694,4.983921859,5.092413441,5.206312757,5.327977896,5.461230212,5.606629287,5.76642102,5.946401082
Slovenia,46.151241,14.995463,1.660514858,1.73819537,1.822978871,1.91466754,2.013468568,2.118629264,2.228493471,2.34909358,2.479168431,2.616163402,2.764863532
Solomon Islands,-9.64571,160.156194,16.82147481,17.32143295,17.87720993,18.43880874,18.98909268,19.55560915,20.09778676,20.6714776,21.26010688,21.84035309,22.4042981
Somalia,5.152149,46.199616,74.03214346,75.90145665,78.16335028,80.40121872,82.7739919,85.31884492,87.92306812,90.3908292,92.96688342,95.55904698,98.10417377
South Africa,-30.559482,22.937506,27.51648189,27.83128643,28.19221314,28.24150634,28.50313942,28.97081939,29.22564835,29.76644508,30.52789327,32.5262798,36.46014561
Spain,40.463667,-3.74922,2.603356874,2.645404094,2.6777487,2.707609333,2.744759156,2.794097246,2.860060193,2.942435147,3.041530868,3.154687416,3.280260452
Sri Lanka,7.873054,80.771797,6.076990988,6.351597595,6.672447951,7.038705417,7.483217791,8.007123337,8.567136567,9.108755837,9.587581055,9.981444591,10.3017687
Sudan,12.862807,30.217636,40.96868138,42.02078859,43.10681144,44.1821746,45.20730736,46.23068226,47.28915984,48.38208772,49.46748243,50.59987083,51.81269184
Suriname,3.919305,-56.027783,16.07992362,16.5582391,17.0214874,17.55084931,18.04923732,18.53341161,19.00761297,19.49839874,20.00911013,20.53170528,21.04017304
Sweden,60.128161,18.643501,2.082771648,2.157391202,2.22817268,2.287121744,2.334629847,2.36954599,2.397428626,2.425167444,2.45796256,2.499312401,2.555416698
Switzerland,46.818188,8.227512,3.566096882,3.6377632,3.695021149,3.743773245,3.783934912,3.814120951,3.840407007,3.863600489,3.8910107,3.928827765,3.981534409
Syria,34.802075,38.996815,17.92260751,17.99775299,18.07103623,17.97335322,17.76210137,17.71298389,17.3650531,16.95278508,16.37618723,16.24196245,16.23220482
Tajikistan,38.861034,71.276093,29.59554548,30.44899816,31.27273054,32.09566996,32.85638568,33.6130663,34.37802038,35.14308817,36.00457426,37.02018988,38.2890596
Thailand,15.870032,100.992541,7.720870429,8.069629892,8.448062462,8.854661334,9.274712443,9.718758979,10.18049924,10.65737233,11.15451037,11.69320596,12.24888696
Timor-Leste,-8.874217,125.727539,38.07202495,39.19029106,40.49387034,41.86457045,43.24094092,44.67933515,46.13510429,47.84886343,49.65564586,51.61121966,53.89699612
Togo,8.619543,0.824782,45.76114947,46.99292564,48.24958911,49.50918712,50.8325496,52.12353779,53.44182016,54.81531889,56.22516824,57.6765057,59.17868007
Tonga,-21.178986,-175.198242,14.29134331,14.425663,14.4627321,14.47012187,14.46150475,14.45799192,14.45062304,14.44084823,14.44900201,14.47122273,14.49587366
Trinidad and Tobago,10.691803,-61.222503,15.65580004,16.12977558,16.59032719,17.0756355,17.59820001,18.10454397,18.58548044,19.18467654,19.78767033,20.41614099,21.02214799
Tunisia,33.886917,9.537499,14.48669421,14.61118949,14.67273056,14.70280417,14.76100219,14.87313772,15.02187304,15.21825324,15.46025515,15.77698784,16.15909272
Turkey,38.963745,35.243322,8.615328271,9.184093217,9.79667659,10.45284483,11.14710384,11.90006406,12.71212903,13.59906537,14.57212965,15.60525491,16.75058668
Turkmenistan,38.969719,59.556278,36.32163835,36.64454749,36.6589691,36.42948545,36.21430862,36.05237163,36.00285232,36.07986287,36.38930674,36.91697184,37.76588086
Tuvalu,-7.109535,177.64933,20.23147101,20.90546311,21.54526453,22.2176018,22.88415574,23.64326213,24.26033827,24.99533623,25.6728244,26.4063296,27.14465203
Uganda,1.373333,32.290275,33.43732562,34.60050337,36.04296353,37.56720354,39.21173341,40.90662397,42.91862908,44.62390018,47.57849658,49.86250836,52.4575008
Ukraine,48.379433,31.16558,7.177253295,7.392673966,7.615556599,7.858666784,8.126088627,8.424498802,8.765604005,9.151785595,9.58816626,10.07336823,10.57956508
United Arab Emirates,23.424076,53.847818,6.404888817,6.506085067,6.582597698,6.644359718,6.702412822,6.765836207,6.849447814,6.95577766,7.090430267,7.254470973,7.442451905
United Kingdom,55.378051,-3.435973,3.674376892,3.717732774,3.751597161,3.786597014,3.830453535,3.892210961,3.983511236,4.102616714,4.250332768,4.418536477,4.591773424
United States,37.09024,-95.712891,5.557425125,5.643624569,5.711304422,5.764999193,5.81958922,5.882108864,5.953979421,6.038230821,6.134729829,6.243277326,6.357438554
Uruguay,-32.522779,-55.765835,6.068324119,6.451477159,6.84922249,7.246362809,7.631605653,7.983384523,8.302681393,8.593453923,8.891279716,9.251209102,9.71971976
Uzbekistan,41.377491,64.585262,15.57451972,16.47229406,17.55166898,18.80900986,20.27017778,21.84939602,23.54817826,25.31816666,27.21219943,29.20413599,31.32176527
Vanuatu,-15.376706,166.959158,21.85375707,22.41914364,22.93413791,23.49784824,24.01558505,24.41544269,24.71130683,24.85011076,24.81963253,24.70429424,24.51945638
Venezuela,6.42375,-66.58973,21.03843638,21.03843638,21.03895442,21.04440387,16.43652921,15.43178351,15.11907022,14.88707296,14.74338777,14.66608311,14.6538885
Vietnam,14.058324,108.277199,15.88450732,16.26984604,16.62850994,16.93798343,17.20117686,17.41704969,17.61709167,17.81839998,18.03866164,18.26122297,18.49557959
Yemen,15.552727,48.516388,43.62303149,43.63969732,43.34170746,43.31079448,43.35883805,42.98612063,42.96296095,42.96414984,43.07747202,43.63425328,44.94046932
Zambia,-13.133897,27.849332,42.41526142,43.36463674,44.12442869,45.78915991,46.72123991,47.47224878,48.74611241,49.92344745,51.02824068,52.32319252,54.13019521
Zimbabwe,-19.015438,29.154857,38.42377559,39.27375559,40.51729447,41.39205678,42.86800907,44.2457063,45.86494942,47.85339403,51.63199778,53.77651756,55.86600423
